ECA	logFC	PValue	FDR
ECA1877	-1.891037465	8.89246463031099E-005	0.0037450957
ECA1878	-2.308586074	3.0627397493363E-005	0.001541931
ECA1879	-2.2359855061	2.0512658834173E-005	0.0011693942
ECA1881	-2.0752948696	1.84547843719235E-005	0.0010923237
ECA1882	-1.9111953216	0.0011983113	0.0293218064
ECA1959	3.308101151	0.0002598481	0.0084935436
ECA1967	-2.4235176621	0.0001517903	0.0056342488
ECA1968	-1.5674899321	0.0017036119	0.0386512961
ECA1971	-2.7614579345	1.12939486685394E-007	1.64891650560675E-005
ECA2002	1.7962792378	0.0001270201	0.0049673916
ECA2015	1.8091646651	0.0007050031	0.0191795881
ECA2093	3.9832355996	0.0003163717	0.0100413636
ECA2135	1.785668933	0.0001961056	0.0069269554
ECA2136	1.6830390698	0.001861734	0.0409768584
ECA2137	2.9554664645	0.0002294738	0.0077914364
ECA2153	-3.3275828817	3.00940706407251E-005	0.001532698
ECA2158	-2.9777739501	1.19248187573678E-006	0.0001160682
ECA2273	-1.701561708	0.000911626	0.0239097125
ECA2274	-1.9874165707	9.83085831073898E-005	0.0040621848
ECA2275	-2.2843483037	4.56960629359614E-005	0.0021521372
ECA2296	1.5151001542	0.0019173962	0.0414985415
ECA2298	1.5398120868	0.0022329648	0.0454901663
ECA2357	-1.919423371	0.0019233342	0.0414985415
ECA2406	-1.6880957756	0.0010438125	0.0264271606
ECA2473	1.7477317026	0.0012414245	0.0300411016
ECA2659	2.3655587493	0.0009443577	0.024331098
ECA2662	-2.8544803524	6.37226124651572E-007	7.54337952965915E-005
ECA2663	-3.106747104	2.66035150301597E-008	5.29651799236815E-006
ECA2896	-4.1348467698	0.000000026	5.29651799236815E-006
ECA3009	-2.614573683	0.0015365134	0.0357974924
ECA3170	-3.3187998607	0.000000722	8.10869268237573E-005
ECA3171	-3.9501437439	5.24872100041728E-012	4.18709905798918E-009
ECA3173	-4.5218176569	2.25043758336508E-009	7.17344398519085E-007
ECA3174	-3.0308943229	2.6981932350973E-007	3.58123829385641E-005
ECA3175	-3.2403722102	8.26280941088504E-006	0.000565486
ECA3176	-2.6897208749	3.04829246304265E-006	0.00023842
ECA3177	-3.0888588974	7.41130094683905E-006	0.0005235726
ECA3178	-3.2816033952	1.11311174075891E-005	0.000727676
ECA3179	-2.3554754093	2.46576376521259E-005	0.0013012103
ECA3251	-1.6869560668	0.0014196273	0.033977966
ECA3288	-1.6095453747	0.0014459993	0.0344210707
ECA3335	-1.9089405594	0.0002659171	0.0086275311
ECA3336	-1.6256990768	0.0009251318	0.0241195086
ECA3337	-1.7473925646	0.0004249113	0.012798184
ECA3338	-1.9278673339	8.3935511970249E-005	0.0036042896
ECA3343	1.7204675795	0.0015151283	0.0354880324
ECA3352	2.2677015215	4.08667473848665E-006	0.0003140287
